name,city,description,rating,keywords,name_raw,city_raw,description_raw,content,maps_link
bai dai cam ranh,khanh hoa,bai bien hoang so voi ve dep tu nhien ly tuong de thu gian va tam bien,4.8/5,bien vui choi chup anh nghi duong,Bãi Dài Cam Ranh,Khánh Hòa,"Bãi biển hoang sơ với vẻ đẹp tự nhiên, lý tưởng để thư giãn và tắm biển",bai dai cam ranh khanh hoa bai bien hoang so voi ve dep tu nhien ly tuong de thu gian va tam bien bien vui choi chup anh nghi duong bien vui choi chup anh nghi duong,https://www.google.com/maps/search/?api=1&query=B%C3%A3i%20D%C3%A0i%20Cam%20Ranh%20Kh%C3%A1nh%20H%C3%B2a
thap ba ponagar,khanh hoa,cong trinh kien truc cham co noi du khach co the tim hieu ve lich su va van hoa cham,4.5/5,tham quan thap chup anh di tich van hoa,Tháp Bà Ponagar,Khánh Hòa,"Công trình kiến trúc Chăm cổ, nơi du khách có thể tìm hiểu về lịch sử và văn hóa Chăm",thap ba ponagar khanh hoa cong trinh kien truc cham co noi du khach co the tim hieu ve lich su va van hoa cham tham quan thap chup anh di tich van hoa tham quan thap chup anh di tich van hoa,https://www.google.com/maps/search/?api=1&query=Th%C3%A1p%20B%C3%A0%20Ponagar%20Kh%C3%A1nh%20H%C3%B2a
thanh co dien khanh,khanh hoa,di tich lich su voi kien truc thanh co doc dao duoc xay dung tu thoi nguyen,4.5/5,tham quan di tich lich su chup anh van hoa,Thành cổ Diên Khánh,Khánh Hòa,"Di tích lịch sử với kiến trúc thành cổ độc đáo, được xây dựng từ thời Nguyễn.",thanh co dien khanh khanh hoa di tich lich su voi kien truc thanh co doc dao duoc xay dung tu thoi nguyen tham quan di tich lich su chup anh van hoa tham quan di tich lich su chup anh van hoa,https://www.google.com/maps/search/?api=1&query=Th%C3%A0nh%20c%E1%BB%95%20Di%C3%AAn%20Kh%C3%A1nh%20Kh%C3%A1nh%20H%C3%B2a
vinwonders nha trang,khanh hoa,cong vien giai tri tren dao hon tre noi bat voi nhieu tro choi va hoat dong hap dan,4.6/5,cong vien vui choi giai tri chup anh,VinWonders Nha Trang,Khánh Hòa,"Công viên giải trí trên đảo Hòn Tre, nổi bật với nhiều trò chơi và hoạt động hấp dẫn.",vinwonders nha trang khanh hoa cong vien giai tri tren dao hon tre noi bat voi nhieu tro choi va hoat dong hap dan cong vien vui choi giai tri chup anh cong vien vui choi giai tri chup anh,https://www.google.com/maps/search/?api=1&query=VinWonders%20Nha%20Trang%20Kh%C3%A1nh%20H%C3%B2a
suoi ba ho,khanh hoa,gom ba ho nuoc trong xanh nam tren nui thich hop cho trekking va tam suoi,4.3/5,suoi chup anh vui choi,Suối Ba Hồ,Khánh Hòa,"Gồm ba hồ nước trong xanh nằm trên núi, thích hợp cho trekking và tắm suối",suoi ba ho khanh hoa gom ba ho nuoc trong xanh nam tren nui thich hop cho trekking va tam suoi suoi chup anh vui choi suoi chup anh vui choi,https://www.google.com/maps/search/?api=1&query=Su%E1%BB%91i%20Ba%20H%E1%BB%93%20Kh%C3%A1nh%20H%C3%B2a
dao phu quoc,kien giang,la diem du lich noi tieng nhat kien giang duoc menh danh la dao ngoc voi nhieu bai bien dep va dich vu cao cap,4.8/5,dao bien chup anh nghi duong vui choi an uong,Đảo Phú Quốc,Kiên Giang,"Là điểm du lịch nổi tiếng nhất Kiên Giang, được mệnh danh là ""Đảo Ngọc"" với nhiều bãi biển đẹp và dịch vụ cao cấp",dao phu quoc kien giang la diem du lich noi tieng nhat kien giang duoc menh danh la dao ngoc voi nhieu bai bien dep va dich vu cao cap dao bien chup anh nghi duong vui choi an uong dao bien chup anh nghi duong vui choi an uong,https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BA%A3o%20Ph%C3%BA%20Qu%E1%BB%91c%20Ki%C3%AAn%20Giang
bien mui nai,kien giang,bai bien hien hoa noi ly tuong de thu gian va ngam canh hoang hon,4.7/5,bien vui choi chup anh nghi duong,Biển Mũi Nai,Kiên Giang,"Bãi biển hiền hòa, nơi lý tưởng để thư giãn và ngắm cảnh hoàng hôn",bien mui nai kien giang bai bien hien hoa noi ly tuong de thu gian va ngam canh hoang hon bien vui choi chup anh nghi duong bien vui choi chup anh nghi duong,https://www.google.com/maps/search/?api=1&query=Bi%E1%BB%83n%20M%C5%A9i%20Nai%20Ki%C3%AAn%20Giang
chua lang cat,kien giang,ngoi chua co kinh mang dam dau an phat giao,4.4/5,chua tham quan van hoa,Chùa Láng Cát,Kiên Giang,Ngôi chùa cổ kính mang đậm dấu ấn Phật giáo.,chua lang cat kien giang ngoi chua co kinh mang dam dau an phat giao chua tham quan van hoa chua tham quan van hoa,https://www.google.com/maps/search/?api=1&query=Ch%C3%B9a%20L%C3%A1ng%20C%C3%A1t%20Ki%C3%AAn%20Giang
vuon quoc gia u minh thuong,kien giang,rung ngap man voi he sinh thai phong phu la noi ly tuong de kham pha thien nhien hoang da va tham quan bang thuyen,4.6/5,rung tham quan chup anh,Vườn quốc gia U Minh Thượng,Kiên Giang,"Rừng ngập mặn với hệ sinh thái phong phú, là nơi lý tưởng để khám phá thiên nhiên hoang dã và tham quan bằng thuyền",vuon quoc gia u minh thuong kien giang rung ngap man voi he sinh thai phong phu la noi ly tuong de kham pha thien nhien hoang da va tham quan bang thuyen rung tham quan chup anh rung tham quan chup anh,https://www.google.com/maps/search/?api=1&query=V%C6%B0%E1%BB%9Dn%20qu%E1%BB%91c%20gia%20U%20Minh%20Th%C6%B0%E1%BB%A3ng%20Ki%C3%AAn%20Giang
mo chi su,kien giang,khu di tich lich su noi tieng gan lien voi cuoc khang chien chong phap,4.4/5,di tich lich su,Mộ chị Sứ,Kiên Giang,"Khu di tích lịch sử nổi tiếng, gắn liền với cuộc kháng chiến chống Pháp.",mo chi su kien giang khu di tich lich su noi tieng gan lien voi cuoc khang chien chong phap di tich lich su di tich lich su,https://www.google.com/maps/search/?api=1&query=M%E1%BB%99%20ch%E1%BB%8B%20S%E1%BB%A9%20Ki%C3%AAn%20Giang
